time,dgfs,darome,dicon7,dir,temp
2025-12-06 19:00:00,0.1,1.1,0.6,128,11.7
2025-12-06 22:00:00,0.8,0.2,0.7,162,10.8
2025-12-05 06:00:00,3.9,3.7,1.4,78,3.6
2025-12-05 08:00:00,3.6,1.4,2.8,79,5.0
2025-12-05 09:00:00,2.3,0.6,1.8,69,6.2
2025-12-05 11:00:00,0.8,0.1,0.5,193,10.6
2025-12-05 12:00:00,0.1,0.2,1.0,230,11.6
2025-12-07 07:00:00,3.1,0.1,0.8,289,9.5
2025-12-07 10:00:00,0.3,2.4,1.0,255,14.9
2025-12-05 14:00:00,2.0,1.1,0.9,205,11.6
2025-12-05 15:00:00,1.7,1.9,0.7,188,11.1
2025-12-05 17:00:00,1.0,2.8,0.8,57,6.8
2025-12-05 18:00:00,0.1,0.9,0.1,88,6.0
2025-12-05 20:00:00,1.9,0.1,1.4,189,7.2
2025-12-05 21:00:00,2.8,0.5,1.0,161,7.2
2025-12-05 23:00:00,1.1,2.5,0.4,238,7.7
2025-12-06 00:00:00,0.0,3.5,1.7,235,8.3
2025-12-06 02:00:00,0.2,1.5,0.6,253,8.8
2025-12-06 03:00:00,1.9,1.3,0.3,262,9.9
2025-12-06 05:00:00,3.6,0.7,2.0,283,8.7
2025-12-06 06:00:00,4.0,0.4,1.7,317,9.3
2025-12-06 08:00:00,0.8,3.6,0.7,250,12.2
2025-12-06 09:00:00,0.9,2.2,0.4,259,14.0
2025-12-06 11:00:00,0.4,7.0,1.6,314,14.2
2025-12-06 12:00:00,0.7,6.2,0.1,127,16.3
2025-12-07 13:00:00,3.4,3.8,3.4,250,16.5
2025-12-07 16:00:00,2.5,4.2,3.5,249,15.2
2025-12-07 19:00:00,4.7,3.0,3.1,41,11.1
2025-12-07 22:00:00,2.3,0.0,2.2,68,11.6
2025-12-08 01:00:00,2.6,0.1,2.4,80,10.2
2025-12-08 04:00:00,3.2,0.1,2.1,78,10.3
2025-12-08 07:00:00,2.4,0.1,1.8,72,9.4
2025-12-08 10:00:00,1.1,1.9,1.1,207,15.1
2025-12-06 14:00:00,1.1,1.2,0.7,197,17.1
2025-12-06 15:00:00,2.8,1.7,0.5,183,15.3
2025-12-06 17:00:00,1.3,1.0,0.9,92,13.6
2025-12-06 18:00:00,1.0,0.1,1.1,113,12.3
