time,dgfs,darome,dicon7,dir,temp
2025-12-08 01:00:00,3.4,1.8,3.7,355,10.0
2025-12-08 04:00:00,2.1,1.9,2.3,26,11.6
2025-12-08 07:00:00,1.8,2.5,1.9,52,10.6
2025-12-08 10:00:00,1.6,0.6,0.4,28,13.8
2025-12-06 14:00:00,1.5,0.8,0.4,242,18.2
2025-12-06 15:00:00,2.7,5.0,4.9,246,18.1
2025-12-06 17:00:00,3.3,3.6,1.0,260,17.6
2025-12-06 18:00:00,5.4,2.3,2.6,228,17.1
2025-12-06 20:00:00,1.0,6.1,3.0,258,17.5
2025-12-06 21:00:00,3.9,1.1,1.5,278,16.9
2025-12-06 23:00:00,5.1,3.2,1.5,265,16.1
2025-12-07 00:00:00,3.8,0.5,0.2,18,13.8
2025-12-07 05:00:00,0.6,1.1,1.8,32,10.3
2025-12-08 19:00:00,3.3,2.8,0.5,303,15.6
2025-12-08 22:00:00,1.3,2.2,4.9,251,16.4
2025-12-07 06:00:00,2.4,2.9,2.3,350,10.3
2025-12-07 08:00:00,0.7,2.6,0.5,44,9.6
2025-12-07 09:00:00,3.3,0.1,2.1,23,10.6
2025-12-07 11:00:00,2.4,5.9,4.6,259,15.9
2025-12-07 12:00:00,3.1,5.5,3.0,250,16.9
2025-12-07 14:00:00,0.5,2.1,1.3,216,17.6
2025-12-07 15:00:00,4.2,5.0,4.6,258,17.5
2025-12-07 17:00:00,1.3,4.8,2.5,251,17.3
2025-12-07 18:00:00,4.5,1.2,1.3,272,16.7
2025-12-07 21:00:00,0.5,3.3,2.0,21,12.1
2025-12-07 23:00:00,1.6,1.6,2.6,17,11.6
2025-12-08 00:00:00,0.8,2.0,0.4,5,10.6
2025-12-08 02:00:00,2.4,1.2,2.6,355,10.9
2025-12-08 03:00:00,1.4,0.4,1.4,5,10.9
2025-12-08 05:00:00,1.9,1.1,2.2,19,10.0
2025-12-09 10:00:00,7.2,0.8,0.2,219,13.6
2025-12-08 06:00:00,1.5,1.1,2.1,33,10.8
2025-12-10 04:00:00,2.3,3.1,4.6,5,8.6
2025-12-08 08:00:00,1.4,0.3,1.1,26,11.4
2025-12-08 09:00:00,2.2,0.0,0.9,49,12.2
2025-12-08 11:00:00,1.5,1.6,1.8,200,15.0
2025-12-08 12:00:00,0.2,3.3,1.5,258,15.9
2025-12-10 07:00:00,2.3,2.4,1.8,52,9.4
2025-12-10 10:00:00,0.8,1.5,1.0,19,14.6
2025-12-08 17:00:00,2.0,3.2,3.4,255,17.0
2025-12-08 18:00:00,3.4,1.9,1.4,259,16.1
2025-12-08 20:00:00,1.5,1.8,2.4,5,12.2
2025-12-08 21:00:00,2.6,3.1,1.0,301,12.3
2025-12-09 08:00:00,6.3,4.0,0.4,52,7.9
2025-12-09 09:00:00,2.8,1.3,3.3,10,11.0
2025-12-09 11:00:00,3.9,4.7,1.0,228,16.6
2025-12-09 12:00:00,4.2,4.9,0.3,225,17.2
2025-12-10 13:00:00,0.6,2.4,1.1,242,16.8
2025-12-10 16:00:00,2.2,1.5,3.5,189,17.3
2025-12-10 19:00:00,0.7,1.6,0.2,19,13.2
2025-12-11 10:00:00,2.1,0.7,1.1,43,14.8
2025-12-10 05:00:00,1.6,2.5,4.0,17,9.0
2025-12-10 06:00:00,4.3,4.2,6.5,5,9.4
2025-12-10 08:00:00,1.6,2.4,2.1,52,9.4
2025-12-10 09:00:00,1.6,0.3,0.9,15,12.3
2025-12-10 11:00:00,3.0,2.2,1.3,121,16.1
2025-12-10 12:00:00,1.9,0.2,0.9,225,16.3
2025-12-10 14:00:00,1.0,0.2,0.4,219,17.3
2025-12-10 15:00:00,0.9,1.0,1.8,190,17.4
2025-12-10 17:00:00,2.1,0.0,3.1,83,16.1
2025-12-10 18:00:00,0.4,2.3,0.4,36,14.1
2025-12-12 04:00:00,1.2,0.6,0.5,43,13.1
2025-12-12 07:00:00,3.5,4.9,4.1,61,13.4
2025-12-12 16:00:00,1.5,0.7,2.0,98,18.7
2025-12-12 19:00:00,2.7,2.2,0.5,52,16.1
2025-12-12 22:00:00,3.4,0.7,0.1,39,14.2
2025-12-11 08:00:00,6.5,4.5,3.8,52,11.1
2025-12-11 09:00:00,0.9,1.3,0.6,13,12.6
2025-12-11 11:00:00,3.5,1.6,2.4,34,16.1
2025-12-11 12:00:00,0.8,0.2,0.1,47,17.3
2025-12-13 10:00:00,7.0,4.0,4.9,10,13.7
2025-12-12 02:00:00,2.3,0.3,0.7,19,12.8
2025-12-12 03:00:00,2.7,0.4,0.4,44,13.2
2025-12-12 05:00:00,0.1,0.3,0.5,27,13.1
2025-12-12 06:00:00,1.4,3.0,1.7,17,13.7
2025-12-12 14:00:00,4.0,3.0,3.6,80,19.6
2025-12-12 15:00:00,0.3,0.3,0.3,90,18.9
2025-12-12 17:00:00,0.8,2.3,1.6,76,17.9
2025-12-12 18:00:00,0.6,2.6,2.1,77,16.9
2025-12-12 20:00:00,4.2,1.5,1.4,69,15.8
2025-12-12 21:00:00,4.0,1.1,0.8,26,14.3
2025-12-12 23:00:00,1.6,1.8,1.3,27,13.1
2025-12-13 00:00:00,0.9,2.4,1.7,24,12.7
2025-12-13 13:00:00,3.6,0.6,2.1,31,17.3
2025-12-13 16:00:00,7.7,1.5,5.9,55,16.0
2025-12-13 19:00:00,5.8,3.6,3.4,20,14.8
2025-12-13 08:00:00,5.0,2.8,3.5,13,11.0
2025-12-13 09:00:00,6.1,4.1,5.0,61,12.2
2025-12-13 11:00:00,11.1,6.6,7.5,73,15.1
2025-12-13 12:00:00,8.6,4.3,7.5,66,16.5
2025-12-13 14:00:00,4.6,0.8,3.2,37,17.4
2025-12-13 15:00:00,8.4,3.8,5.9,51,17.3
2025-12-13 17:00:00,7.1,3.8,5.8,32,15.1
2025-12-13 18:00:00,4.5,1.5,2.0,12,14.7
2025-12-13 20:00:00,4.8,3.1,3.3,46,14.5
2025-12-13 21:00:00,4.8,3.5,3.0,12,14.1
